variant,policy,cap,selected,positive,negative,positive_precision,positive_sum,negative_mass,raw_utility_sum,worst_sequence_utility,robust_score,eligible,sequence_utility,held_out_seq
compact_directional,q25_positive,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""MOT20-02"": 0.0, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",MOT20-01
compact_directional,q25_positive,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""MOT20-02"": 0.0, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",MOT20-01
compact_directional,q25_positive,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""MOT20-02"": 0.0, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",MOT20-01
compact_directional,q25_p55,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""MOT20-02"": 0.0, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",MOT20-01
compact_directional,q25_p55,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""MOT20-02"": 0.0, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",MOT20-01
compact_directional,q25_p55,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""MOT20-02"": 0.0, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",MOT20-01
compact_directional,median_p60_cat10,1,2,0,2,0.0,0.0,0.011803999999983699,-0.011803999999983699,-0.009539999999987,-0.06629599999990879,0,"{""MOT20-02"": -0.009539999999987, ""MOT20-03"": 0.0, ""MOT20-05"": -0.0022639999999967}",MOT20-01
compact_directional,median_p60_cat10,2,2,0,2,0.0,0.0,0.011803999999983699,-0.011803999999983699,-0.009539999999987,-0.06629599999990879,0,"{""MOT20-02"": -0.009539999999987, ""MOT20-03"": 0.0, ""MOT20-05"": -0.0022639999999967}",MOT20-01
compact_directional,median_p60_cat10,3,2,0,2,0.0,0.0,0.011803999999983699,-0.011803999999983699,-0.009539999999987,-0.06629599999990879,0,"{""MOT20-02"": -0.009539999999987, ""MOT20-03"": 0.0, ""MOT20-05"": -0.0022639999999967}",MOT20-01
compact_directional,consensus_safe,1,1,0,1,0.0,0.0,0.009539999999987,-0.009539999999987,-0.009539999999987,-0.057239999999922,0,"{""MOT20-02"": -0.009539999999987, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",MOT20-01
compact_directional,consensus_safe,2,1,0,1,0.0,0.0,0.009539999999987,-0.009539999999987,-0.009539999999987,-0.057239999999922,0,"{""MOT20-02"": -0.009539999999987, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",MOT20-01
compact_directional,consensus_safe,3,1,0,1,0.0,0.0,0.009539999999987,-0.009539999999987,-0.009539999999987,-0.057239999999922,0,"{""MOT20-02"": -0.009539999999987, ""MOT20-03"": 0.0, ""MOT20-05"": 0.0}",MOT20-01
compact_directional,prob_margin_25,1,3,2,1,0.6666666666666666,0.040609999999986636,0.0022639999999967,0.03834599999998994,-0.0022639999999967,0.027026000000006434,1,"{""MOT20-02"": 0.0405549999999976, ""MOT20-03"": 5.499999998903604e-05, ""MOT20-05"": -0.0022639999999967}",MOT20-01
